X,Y,date
725208.1,4422491.4,2015-01-01 00:00:00
725154.4,4422484.6,2015-01-01 01:00:00
724803.1,4423291.4,2015-01-01 02:00:00
724923.7,4423238.9,2015-01-01 03:00:00
725793.6,4424054,2015-01-01 04:00:00
725808.9,4423655.8,2015-01-01 05:00:00
725751.8,4423598.3,2015-01-01 06:00:00
725958.5,4423188.2,2015-01-01 07:00:00
726026.8,4423182.8,2015-01-01 08:00:00
725575.8,4423499.4,2015-01-01 09:00:00
725640.1,4423536,2015-01-01 10:00:00
725675.6,4423377.9,2015-01-01 11:00:00
726045.7,4423238.2,2015-01-01 12:00:00
725230.6,4422763.7,2015-01-01 13:00:00
725211.7,4422513,2015-01-01 14:00:00
724769.5,4422332.3,2015-01-01 15:00:00
724713.8,4422359.4,2015-01-01 16:00:00
724692.4,4422491.3,2015-01-01 17:00:00
724966.5,4422765.7,2015-01-01 18:00:00
724925.3,4422536.5,2015-01-01 19:00:00
724833,4422065.3,2015-01-01 20:00:00
724702.8,4422252.8,2015-01-01 21:00:00
724660,4422733,2015-01-01 22:00:00
724898.4,4422887.6,2015-01-01 23:00:00
724946.9,4423103.6,2015-01-02 00:00:00
724831.6,4423264.8,2015-01-02 01:00:00
724806.2,4423159.3,2015-01-02 02:00:00
725240.7,4422974.7,2015-01-02 03:00:00
725202,4422873,2015-01-02 04:00:00
725061.7,4422610.6,2015-01-02 05:00:00
724569.3,4421979.6,2015-01-02 06:00:00
724704.1,4422644.6,2015-01-02 07:00:00
725800.6,4423777.7,2015-01-02 08:00:00
725900.2,4423577.5,2015-01-02 09:00:00
725689.2,4424657.4,2015-01-02 10:00:00
725039.7,4424779.4,2015-01-02 11:00:00
725105.6,4422312.2,2015-01-02 12:00:00
725112.2,4422461.3,2015-01-02 13:00:00
724856.3,4422371.4,2015-01-02 14:00:00
724598.6,4422354.5,2015-01-02 15:00:00
724869.9,4422354.5,2015-01-02 16:00:00
725183.6,4422743,2015-01-02 17:00:00
725208.6,4422918,2015-01-02 18:00:00
725630.2,4423023.1,2015-01-02 19:00:00
725570,4423227.6,2015-01-02 20:00:00
725680.8,4423429,2015-01-02 21:00:00
725626.3,4423285.6,2015-01-02 22:00:00
725092.3,4423650.3,2015-01-02 23:00:00
725440.1,4423116.7,2015-01-03 00:00:00
725346.4,4422988.6,2015-01-03 01:00:00
725335.8,4422724.8,2015-01-03 02:00:00
724775.4,4422286.8,2015-01-03 03:00:00
724984.4,4422752,2015-01-03 04:00:00
725124.3,4422631.7,2015-01-03 05:00:00
724947.9,4422838.9,2015-01-03 06:00:00
724805.2,4423161.3,2015-01-03 07:00:00
724623.9,4422986.5,2015-01-03 08:00:00
725158.4,4422580.3,2015-01-03 09:00:00
725133.9,4422697.3,2015-01-03 10:00:00
724909.6,4422610.1,2015-01-03 11:00:00
